date,spot,cash,options_mv,portfolio,n_positions,cash_pct,avg_delta
2025-02-03,514.846435546875,57778.92694543869,699717.0702622705,757495.9972077092,39,0.07627621420895167,0.745079049656297
2025-02-04,521.1663818359375,57778.92694543869,733710.009308892,791488.9362543307,39,0.07300029640196067,0.7586575369118338
2025-02-05,523.5313720703125,57778.92694543869,734874.6182086073,792653.545154046,39,0.07289304046979289,0.7683596657904085
2025-02-06,526.2640991210938,57778.92694543869,746175.7281902184,803954.6551356572,39,0.07186839030826835,0.7757130832074796
2025-02-07,519.6261596679688,57778.92694543869,711575.1865356036,769354.1134810423,39,0.07510056283966618,0.7603115198604639
2025-02-10,525.9161987304688,57778.92694543869,747678.7428257067,805457.6697711454,39,0.07173428115949955,0.7726885851675248
2025-02-11,524.6641845703125,57778.92694543869,740207.0164462052,797985.9433916439,39,0.07240594577376075,0.7700951548489756
2025-02-12,524.97216796875,57778.92694543869,741401.1591522628,799180.0860977016,39,0.07229775610096356,0.7707920908119933
2025-02-13,532.5244750976562,57778.92694543869,785937.73469085,843716.6616362887,39,0.06848143407928355,0.7851309236193444
2025-02-14,534.7601928710938,57778.92694543869,787616.1036525087,845395.0305979474,39,0.06834547738537294,0.794896977159484
2025-02-18,535.9724731445312,57778.92694543869,792254.178757555,850033.1057029937,39,0.06797256078356431,0.7977438797079193
2025-02-19,536.1215209960938,57778.92694543869,792126.0588031624,849904.9857486011,39,0.06798280738940092,0.7983673541713566
2025-02-20,533.845947265625,57778.92694543869,778890.3295076336,836669.2564530723,39,0.06905826466049841,0.7936906528178902
2025-02-21,522.7661743164062,57778.92694543869,723552.5188483705,781331.4457938093,39,0.07394931722828209,0.7669011914285164
2025-02-24,516.5953979492188,57778.92694543869,690639.8274560047,748418.7544014434,39,0.07720133495538611,0.7523502845092246
2025-02-25,510.0866394042969,57778.92694543869,657820.9351435115,715599.8620889502,39,0.08074194812834756,0.7364190245294644
2025-02-26,511.31884765625,57778.92694543869,663578.911853006,721357.8387984447,39,0.08009745487992508,0.7394127073942227
2025-02-27,497.1188049316406,57778.92694543869,601430.4882322487,659209.4151776874,39,0.08764881935107768,0.7016104665105477
2025-02-28,504.9690551757813,57778.92694543869,644559.7752494026,702338.7021948413,39,0.08226647166798133,0.7196134723712865
2025-03-03,493.9190673828125,57778.92694543869,592253.4558236061,650032.3827690448,39,0.08888622855881231,0.691534903547251
